Country,Clicks,Impressions,CTR,Position
India,10,7008,0.14%,8.77
Bangladesh,3,385,0.78%,7.7
France,1,31,3.23%,9.16
Japan,1,11,9.09%,6.64
Ghana,1,9,11.11%,9.78
Zambia,1,8,12.5%,33
United States,0,2640,0%,8.98
United Kingdom,0,769,0%,7.87
Canada,0,91,0%,10.01
Nepal,0,86,0%,7.64
Brazil,0,81,0%,13.88
Philippines,0,58,0%,19.07
Italy,0,50,0%,18.18
Australia,0,37,0%,13.46
Mexico,0,35,0%,11.83
Zimbabwe,0,33,0%,10.61
Thailand,0,32,0%,14.59
Indonesia,0,31,0%,13.16
South Korea,0,31,0%,14.97
United Arab Emirates,0,29,0%,9.69
Saudi Arabia,0,29,0%,12.14
Spain,0,28,0%,7.86
South Africa,0,27,0%,8.37
Vietnam,0,27,0%,17.41
Malaysia,0,26,0%,17.65
Tanzania,0,25,0%,8.44
Nigeria,0,24,0%,9
Germany,0,22,0%,16
Pakistan,0,21,0%,9.67
Algeria,0,18,0%,8.28
Singapore,0,18,0%,10.5
Turkey,0,18,0%,12.22
Netherlands,0,13,0%,10.62
Papua New Guinea,0,12,0%,5.92
Cameroon,0,12,0%,8.75
Iraq,0,12,0%,15.58
Argentina,0,11,0%,9.91
Colombia,0,11,0%,11.82
Russia,0,10,0%,12
Malawi,0,9,0%,8.11
Bhutan,0,9,0%,8.56
Sri Lanka,0,9,0%,9.67
Poland,0,9,0%,10.78
Czechia,0,9,0%,11.56
Jordan,0,9,0%,12.22
Liberia,0,8,0%,5.38
Bahamas,0,8,0%,5.88
Myanmar (Burma),0,8,0%,7
New Zealand,0,8,0%,9.88
Ecuador,0,8,0%,10.75
Côte d’Ivoire,0,7,0%,6.43
Puerto Rico,0,7,0%,6.57
Jamaica,0,7,0%,6.71
Taiwan,0,7,0%,8.86
Morocco,0,7,0%,9
Kenya,0,7,0%,10.43
Sweden,0,6,0%,7.17
Unknown Region,0,6,0%,7.33
Trinidad & Tobago,0,6,0%,7.83
Romania,0,6,0%,9
Barbados,0,6,0%,9.17
Israel,0,6,0%,9.5
China,0,6,0%,9.83
Guatemala,0,6,0%,10.17
Dominican Republic,0,6,0%,13.33
Venezuela,0,6,0%,14.17
Tunisia,0,5,0%,7
Afghanistan,0,5,0%,7.2
Congo - Kinshasa,0,5,0%,8.4
Denmark,0,5,0%,8.8
Egypt,0,5,0%,9.2
Costa Rica,0,5,0%,10.6
Oman,0,5,0%,11
Chile,0,5,0%,12.2
Bahrain,0,5,0%,12.4
Belgium,0,5,0%,13
Ukraine,0,5,0%,13.2
Ethiopia,0,4,0%,5.75
Kuwait,0,4,0%,6.75
Lithuania,0,4,0%,8.5
Finland,0,4,0%,9
Qatar,0,4,0%,9
Uganda,0,4,0%,11.75
Peru,0,4,0%,21.75
Uruguay,0,3,0%,5.33
Belize,0,3,0%,6
Curaçao,0,3,0%,7.33
Malta,0,3,0%,9.33
Mongolia,0,3,0%,11.67
Uzbekistan,0,3,0%,11.67
Switzerland,0,3,0%,12.67
Serbia,0,3,0%,13.67
Belarus,0,3,0%,15
Ireland,0,2,0%,5
Iran,0,2,0%,5
Somalia,0,2,0%,6
Mauritania,0,2,0%,7
Swaziland,0,2,0%,7
St. Vincent & Grenadines,0,2,0%,7
Angola,0,2,0%,7.5
St. Lucia,0,2,0%,7.5
Mozambique,0,2,0%,7.5
Panama,0,2,0%,7.5
Hong Kong,0,2,0%,8.5
Portugal,0,2,0%,9
Sudan,0,2,0%,9.5
Lesotho,0,2,0%,10
Austria,0,2,0%,10.5
Honduras,0,2,0%,10.5
Georgia,0,2,0%,11
Hungary,0,2,0%,11.5
El Salvador,0,2,0%,11.5
Slovakia,0,2,0%,12.5
Mali,0,2,0%,13
Azerbaijan,0,2,0%,15
Libya,0,2,0%,29
Namibia,0,1,0%,1
Albania,0,1,0%,4
U.S. Virgin Islands,0,1,0%,5
Isle of Man,0,1,0%,6
Palestine,0,1,0%,6
Greece,0,1,0%,7
Jersey,0,1,0%,7
Moldova,0,1,0%,7
Norway,0,1,0%,7
Senegal,0,1,0%,7
South Sudan,0,1,0%,7
Cambodia,0,1,0%,8
St. Kitts & Nevis,0,1,0%,8
Madagascar,0,1,0%,8
Bulgaria,0,1,0%,9
Guernsey,0,1,0%,9
Maldives,0,1,0%,9
Nicaragua,0,1,0%,10
Dominica,0,1,0%,11
Luxembourg,0,1,0%,11
Sierra Leone,0,1,0%,11
Kazakhstan,0,1,0%,12
Slovenia,0,1,0%,12
Åland Islands,0,1,0%,15
Macedonia,0,1,0%,16
