Date,Affected pages
2025-11-15,223
2025-11-16,217
2025-11-17,217
2025-11-18,217
2025-11-19,211
2025-11-20,211
2025-11-21,211
2025-11-22,211
2025-11-23,167
2025-11-24,167
2025-11-25,167
2025-11-26,167
2025-11-27,167
2025-11-28,167
2025-11-29,167
2025-11-30,167
2025-12-01,167
2025-12-02,167
2025-12-03,167
2025-12-04,167
2025-12-05,167
2025-12-06,167
2025-12-07,167
2025-12-08,167
2025-12-09,167
2025-12-10,167
2025-12-11,167
2025-12-12,167
2025-12-13,167
2025-12-14,167
2025-12-15,167
2025-12-16,162
2025-12-17,162
2025-12-18,162
2025-12-19,162
2025-12-20,162
2025-12-21,162
2025-12-22,162
2025-12-23,162
2025-12-24,120
2025-12-25,120
2025-12-26,120
2025-12-27,120
2025-12-28,120
2025-12-29,120
2025-12-30,120
2025-12-31,120
2026-01-01,120
2026-01-02,120
2026-01-03,120
2026-01-04,120
2026-01-05,120
2026-01-06,120
2026-01-07,60
2026-01-08,60
2026-01-09,60
2026-01-10,60
2026-01-11,60
2026-01-12,60
2026-01-13,60
2026-01-14,52
2026-01-15,52
2026-01-16,52
2026-01-17,52
