Date,Not indexed,Indexed,Impressions
2025-11-15,249,65,18
2025-11-16,235,99,29
2025-11-17,235,99,37
2025-11-18,235,99,48
2025-11-19,236,122,31
2025-11-20,236,122,69
2025-11-21,236,122,56
2025-11-22,236,122,46
2025-11-23,190,177,81
2025-11-24,190,177,68
2025-11-25,190,177,90
2025-11-26,190,177,80
2025-11-27,190,177,104
2025-11-28,190,177,83
2025-11-29,190,177,76
2025-11-30,190,177,60
2025-12-01,190,177,53
2025-12-02,190,177,41
2025-12-03,190,177,44
2025-12-04,190,177,57
2025-12-05,190,177,39
2025-12-06,190,177,58
2025-12-07,190,177,60
2025-12-08,190,177,62
2025-12-09,190,177,60
2025-12-10,190,177,57
2025-12-11,190,177,77
2025-12-12,190,177,54
2025-12-13,190,177,50
2025-12-14,190,177,52
2025-12-15,190,177,63
2025-12-16,195,172,64
2025-12-17,195,172,127
2025-12-18,195,172,114
2025-12-19,195,172,95
2025-12-20,195,172,82
2025-12-21,195,172,49
2025-12-22,195,172,117
2025-12-23,195,172,100
2025-12-24,192,207,87
2025-12-25,192,207,65
2025-12-26,192,207,90
2025-12-27,192,207,89
2025-12-28,192,207,78
2025-12-29,192,207,96
2025-12-30,192,207,101
2025-12-31,192,207,165
2026-01-01,192,207,277
2026-01-02,192,207,318
2026-01-03,192,207,253
2026-01-04,198,201,284
2026-01-05,198,201,470
2026-01-06,198,201,737
2026-01-07,148,251,377
2026-01-08,148,251,423
2026-01-09,148,251,567
2026-01-10,148,251,562
2026-01-11,143,256,772
2026-01-12,143,256,581
2026-01-13,143,256,818
2026-01-14,133,266,620
2026-01-15,133,266,345
2026-01-16,133,266,352
2026-01-17,133,266,369
